啊	啊	a·	不错啊，多美啊，快来啊，很好啊，小心啊	（助词）表示赞叹、惊叹、疑问、肯定、辩解、催促，停顿、列举等语气	
给	給	jǐ	给养，配给，自给自足	（用于复合词和成语）	
虮	蟣	jǐ	虮子	虱子的卵	
脊	脊	jǐ/jí	脊椎，脊梁		
谨	謹	jǐn	谨慎		
紧	緊	jǐn	紧密，紧急，要紧		
锦	錦	jǐn	锦绣，集锦		
尽	儘	jǐn	尽量，尽管，尽快		
仅	僅	jǐn	仅仅，仅有		
堇	堇	jǐn	堇菜，三色堇	一种花	
馑	饉	jǐn	饥馑，年馑	蔬菜没有收成	
瑾	瑾	jǐn		美玉	
景	景	jǐng	景色，风景		
阱	阱	jǐng	陷阱		
儆	儆	jǐng	杀鸡儆猴		
井	井	jǐng	井水，油井		
警	警	jǐng	警告，警察，巡警		
憬	憬	jǐng	憧憬		
颈	頸	jǐng	颈椎，头颈，瓶颈，长颈鹿	脖子	
璟	璟	jǐng		玉的光彩	
帚	帚	jǒu	扫帚		
肘	肘	jǒu	手肘，胳膊肘		
主	主	jǔ	主要，公主		
嘱	囑	jǔ	嘱咐，叮嘱		
瞩	矚	jǔ	瞩目，高瞻远瞩		
煮	煮	jǔ	煮饭，烧煮		
渚	渚	jǔ		小洲，水里面的小块陆地	
拄	拄	jǔ	拄着枴杖	用棍杖等支撑身体	
褚	褚	jǔ/chǔ	褚衣	丝绵	
冢	冢	jǔng		坟墓	塚
肿	腫	jǔng	肿瘤，浮肿		
种	種	jǔng	种子，种类，品种，物种，各种，绝种	（名词）种子，类别	
踵	踵	jǔng	接踵而来		
挎	挎	kwà	挎斗	把东西挂在肩膀上、腰里或者胳膊晚起来挂着东西	
跨	跨	kwà	跨越，横跨		
胯	胯	kwà	胯下，腰胯		
快	快	kwài	快速，快乐		
脍	膾	kwài	脍炙人口	细切的肉	
块	塊	kwài			
筷	筷	kwài	筷子		
会	會	kwài	会计，会计师		
狯	獪	kwài	狡狯	诡诈，狡诈	
侩	儈	kwài	市侩，牙侩	买卖的中间人	
郐	鄶	kwài		（地名）	
哙	噲	kwài		吞咽；咽喉	
浍	澮	kwài		田间的水沟；细小的水流	
鲙	鱠	kwài	鲙鱼	即鳓鱼	
旷	曠	kwàng	旷野，空旷	空而开阔	
矿	礦	kwàng	矿工，金矿		
眶	眶	kwàng	眼眶，热泪盈眶	眼睛的周围	
框	框	kwàng	框架		
邝	鄺	kwàng		（姓）	
况	況	kwàng	况且，情况		
纩	纊	kwàng		绵絮，丝绵	
狂	狂	kwáng	狂妄，疯狂		
诳	誑	kwáng	诳语	欺骗，哄骗	
𫛭	鵟	kwáng	𫛭属，红尾𫛭	一种鹰科中的猛禽	
溃	潰	kwèi	溃烂，崩溃		
喟	喟	kwèi	喟叹		
愧	愧	kwèi	愧悔，不愧，惭愧		
馈	饋	kwèi	馈赠，反馈		
篑	簣	kwèi	功亏一篑		
聩	聵	kwèi	昏聩，振聋发聩	耳聋；糊涂	
困	睏	kwèn	困倦，发困		
困	困	kwèn	困难，被困		
睽	睽	kwéi	众目睽睽		
魁	魁	kwéi	魁梧，罪魁祸首		
暌	暌	kwéi	暌违	隔离	
葵	葵	kwéi	葵花，葵花籽		
馗	馗	kwéi	钟馗		
揆	揆	kwéi	阁揆		
喹	喹	kwéi	喹啉	一种有机化合物	
夔	夔	kwéi		传说中似似龙的动物	
奎	奎	kwéi	奎宁		
蝰	蝰	kwéi	蝰蛇	一种毒蛇	
蛞	蛞	kwò	蛞蝓		
阔	闊	kwò	阔气，广阔		
廓	廓	kwò	轮廓		
扩	擴	kwò	扩散，扩大		
括	括	kwò/gwā	括号，括弧，包括		
夸	夸	kwā	夸父，夸克		
夸	誇	kwā	夸张，自夸		
髋	髖	kwān	髋骨		
宽	寬	kwān	宽容		
筐	筐	kwāng	箩筐，竹筐	用竹篾等编的方形容器	
匡	匡	kwāng	匡正，匡助	纠正，帮助	
诓	誆	kwāng	诓骗，诓人	欺骗	
劻	劻	kwāng	劻勷	急迫，急促	
岿	巋	kwēi	岿然，岿巍	高大	
亏	虧	kwēi	亏本，幸亏		
窥	窺	kwēi	窥见，窥探，偷窥		
盔	盔	kwēi	盔甲，头盔		
悝	悝	kwēi	李悝	（人名）	
坤	坤	kwēn	乾坤	八卦之一，象征地	堃
昆	崑	kwēn	昆仑山		
昆	昆	kwēn	昆虫，昆明		
髡	髡	kwēn	髡刑	剃去头发的刑罚	
鲲	鯤	kwēn	鲲鹏，鲲化	传说中的一种大鱼	
锟	錕	kwēn	锟铻，曹锟	（山名，人名）	
晜	晜	kwēn			
焜	焜	kwēn/hwèn		明亮	
傀	傀	kwěi	傀儡		
捆	捆	kwěn	捆绑	绑	綑
垮	垮	kwǎ	垮台，拖垮		
侉	侉	kwǎ	侉子	粗笨，不时髦	
蒯	蒯	kwǎi		一种植物	
款	款	kwǎn	款式，付款		
忾	愾	kài	同仇敌忾	愤怒，痛恨	
欬	欬	kài		咳嗽	
瞰	瞰	kàn	俯瞰，鸟瞰		
磡	磡	kàn		香港地名用字	
看	看	kàn	看见，看书，看病，看望，看戏，看脉，察看，观看，好看，看电影，看得起，试试看，看风使舵，刮目相看，另眼相看	瞧，注视，观察，拜访，探望	
崁	崁	kàn			
亢	亢	kàng	亢奋，高亢	高，极，很	
抗	抗	kàng	抗议，抵抗		
炕	炕	kàng	炕头，火炕	北方用砖砌成床，可以烧火取暖	
伉	伉	kàng	伉俪	配偶，夫妻	
铐	銬	kàu	手铐，镣铐		
靠	靠	kàu	靠近，可靠		
犒	犒	kàu	犒劳，犒赏	慰劳	
扛	扛	káng	扛起，扛枪		
课	課	kè	课程，上课		
克	剋	kè	克星，相克		
克	克	kè	克服		
可	可	kè	可汗		
恪	恪	kè	恪守		
氪	氪	kè		化学元素36	
客	客	kè	客人，客气		
嗑	嗑	kè	嗑破，嗑瓜子	咬有壳等的硬东西	
刻	刻	kè/kē	刻字，立刻		
咳	咳	ké	咳嗽，干咳		
壳	殼	ké	贝壳，鸡蛋壳	坚硬的外皮	
扣	扣	kòu	扣分，扣押，扣留，折扣		
扣	釦	kòu	扣子，钮扣，衣扣，袖扣		
寇	寇	kòu			
蔻	蔻	kòu	豆蔻		
叩	叩	kòu			
库	庫	kù	仓库		
酷	酷	kù	酷热，残酷		
裤	褲	kù	裤子		
绔	絝	kù	纨绔	裤子，套裤	
嚳	嚳	kù		传说中上古帝王名	
控	控	kùng	控制，失控		
空	空	kùng	空白，空闲，空儿，空地，空出，空子，空缺，空隙，填空，拨空，抽空，没空，亏空，空出来，空下来，空得很	腾出来；闲余的时间，没有被利用的地方	
咖	咖	kā	咖啡，咖啡色，咖啡因		
喀	喀	kā	喀斯特	（译音字）	
开	開	kāi	开放，公开		
揩	揩	kāi	揩油		
锎	鐦	kāi		一种放射性金属元素	
龛	龕	kān	神龛，佛龛		
勘	勘	kān	勘察，校勘	校对，核定，细查，审查	
堪	堪	kān	堪称，难堪		
看	看	kān	看门，看家，看羊，看管，看守，看护，看押，看待	守护，监视，监管，照管，照顾，放牧	
刊	刊	kān	刊登，期刊		
戡	戡	kān	戡乱		
康	康	kāng	康复，健康		
慷	慷	kāng	慷慨		
糠	糠	kāng	稻糠，麦糠，糟糠		
闶	閌	kāng/kàng	闶阆	门高的样子	
尻	尻	kāu		臀部，屁股	
苛	苛	kē	苛刻，苛责，苛待		
瞌	瞌	kē	打瞌睡		
颗	顆	kē			
棵	棵	kē			
轲	軻	kē	荆轲		
珂	珂	kē			
窠	窠	kē	窠臼	鸟兽的巢穴	
柯	柯	kē			
蝌	蝌	kē	蝌蚪		
科	科	kē	科学，外科		
磕	磕	kē	磕头，磕碰，磕破		
嗑	嗑	kē	嗑儿，嗑牙，唠嗑，闲嗑	（方言）话	
颏	頦	kē/hái	下颏，下巴颏	两颊的下部，下巴	
铿	鏗	kēng	铿锵	象声词	
吭	吭	kēng	吭声，一声不吭		
坑	坑	kēng			
可	可	kě	可以，宁可		
坷	坷	kě	坎坷		
渴	渴	kě	渴望，口渴		
岢	岢	kě	岢岚	（山名，地名）	
肯	肯	kěn	肯定，宁肯		
恳	懇	kěn	恳切，诚恳		
啃	啃	kěn	啃噬，啃咬，啃书		
垦	墾	kěn	垦地，开垦		
抠	摳	kōu	抠门，抠着手掌		
骷	骷	kū	骷髅		
窟	窟	kū	窟窿		
枯	枯	kū	枯萎，干枯		
哭	哭	kū	哭泣		
刳	刳	kū	刳木为舟	剖开，挖空	
空	空	kūng	空间，空虚，空想，空话，空谈，空旷，天空，真空，高空，当空，领空，落空，空无一物，空中楼阁，空跑一趟，海阔天空	虚的，虚无的，没有东西的	
箜	箜	kūng	箜篌	古代弦乐器	
崆	崆	kūng	崆峒		
卡	卡	kǎ	卡车，卡通，卡规，卡尺，卡片，大卡，刷卡，磁卡，卡路里，卡宾枪，信用卡，借书卡，资料卡	（音译用字）	
咯	咯	kǎ/lwò	咯血，咯痰	呕，吐	
楷	楷	kǎi	楷体		
铠	鎧	kǎi	铠甲，铁铠	古代用来护身的金属战斗服	
凯	凱	kǎi	凯旋		
恺	愷	kǎi		欢乐	
锴	鍇	kǎi		好铁	
蒈	蒈	kǎi		一种有机化合物	
闿	闓	kǎi		开启	
剀	剴	kǎi	剀切	切中事理	
垲	塏	kǎi		地势高而干燥	
慨	慨	kǎi/kài	慨叹，慷慨	意气激昂	
坎	坎	kǎn	坎坷，心坎		
砍	砍	kǎn	砍伐，砍树		
侃	侃	kǎn	侃侃而谈，调侃		
槛	檻	kǎn	门槛		
拷	拷	kǎu	拷打，拷问		
考	考	kǎu	考试，参考		攷
烤	烤	kǎu			
栲	栲	kǎu	栲胶，栲树	一种常绿乔木	
口	口	kǒu	口味，路口		
苦	苦	kǔ	苦恼，辛苦		
恐	恐	kǔng	恐怕，惊恐		
孔	孔	kǔng	孔雀，面孔		
啦	啦	la·			
饹	餎	le·	荞面饸饹		
了	了	le·	走了，看完了，说过了，做好了	（语助词）表示动作已完成	
娌	娌	li·	妯娌	兄弟的妻子合称妯娌	
哩	哩	li·		（助词）呢	
喽	嘍	lou·		（语气助词）表示提醒，呼唤	
咯	咯	lo·	当然咯	（语气助词）	
乱	亂	lwàn	乱说，杂乱		
鸾	鸞	lwán	孤鸾年	传说中凤凰之类的鸟	
峦	巒	lwán	山峦		
脔	臠	lwán	臠割，禁脔，尝鼎一脔	切成小块的肉	
滦	灤	lwán	滦河，滦南	（水名，地名）	
栾	欒	lwán		（植物名）	
銮	鑾	lwán	銮铃，迎銮	指皇帝的车驾	
娈	孌	lwán		容貌美好	
挛	攣	lwán/lyuán			
孪	孿	lwán/lyuán	孪生，孪生兄弟		
骆	駱	lwò	骆驼		
珞	珞	lwò	珞巴族，赛璐珞		
络	絡	lwò	网络		
洛	洛	lwò	洛河，洛阳	（水名，地名）	
落	落	lwò	落下，坠落		
咯	咯	lwò	吡咯	一种有机化合物	
漯	漯	lwò	漯河	（地名）	
荦	犖	lwò	卓荦，荦荦大端	明显，分明，显着	
硌	硌	lwò		（名词）山上的大石	
烙	烙	lwò/gé	炮烙	古代的一种酷刑	
骡	騾	lwó	骡子		
逻	邏	lwó	逻辑		
罗	羅	lwó			
猡	玀	lwó	猪猡	（方言）猪	
萝	蘿	lwó	萝卜		
螺	螺	lwó	螺旋，螺丝，陀螺，田螺		
锣	鑼	lwó	锣鼓		
箩	籮	lwó	箩筐，笸箩	盛物的圆口竹器	
论	論	lwùn	论文，论点，讨论，理论，言论，谈论，评论，相对论，一概而论，无论如何，相提并论		
轮	輪	lwún	轮船，车轮		
仑	崙	lwún	昆仑山，拿破仑		
沦	淪	lwún	沦陷，沉沦		
伦	倫	lwún	伦理，无与伦比		
囵	圇	lwún	囫囵吞枣		
论	論	lwún	论语，论孟	《論語》的簡稱	
仑	侖	lwún	加仑，美仑美奂		
纶	綸	lwún	涤纶，腈纶，垂纶	人工合成纤维	
啰	囉	lwō			
捋	捋	lwō	捋虎须，捋榆钱，捋袖子		
抡	掄	lwūn	抡刀，抡拳		
卵	卵	lwǎn	卵石，孵卵		
裸	裸	lwǒ	裸露，赤裸		
倮	倮	lwǒ	倮袒，倮体	同裸，赤身	
咧	咧	lye·		（助词）了，啦	
略	略	lywè	略过，策略		畧
掠	掠	lywè	掠夺，抢掠		
练	練	lyàn	练习，训练		
殓	殮	lyàn	殡殓，入殓，装殓		
恋	戀	lyàn	恋爱，迷恋		
炼	煉	lyàn	炼铁，锻炼		鍊
链	鏈	lyàn	锁链，铁链，链接		
亮	亮	lyàng	亮光，明亮		
量	量	lyàng	量词，重量，力量，不自量力	数量；容纳或禁受的限度；估计	
谅	諒	lyàng	谅解，原谅，见谅		
辆	輛	lyàng	车辆		
晾	晾	lyàng	晾衣服，晾干，晾晒		
踉	踉	lyàng	踉跄		
悢	悢	lyàng		悲伤	
靓	靚	lyàng	靓仔，靓女	（方言）漂亮，好看	
料	料	lyàu	料想，材料		
镣	鐐	lyàu	镣铐		
尥	尥	lyàu	尥蹶子	骡马等用后腿向后踢	
撂	撂	lyàu	撂到垃圾箱里	放下	
廖	廖	lyàu		（姓）	
瞭	瞭	lyàu	瞭望，瞭望台	远远地望，从高处远望	
钌	釕	lyàu		金属元素，符号Ru	
连	連	lyán	连环，接连		
廉	廉	lyán	廉价，清廉		
镰	鐮	lyán	镰刀		
联	聯	lyán	联盟，联邦		
帘	簾	lyán	窗帘，门帘，竹帘	遮挡门窗的用具	
莲	蓮	lyán	莲花，睡莲		
怜	憐	lyán	怜悯，可怜		
涟	漣	lyán	涟漪		
帘	帘	lyán	酒帘	商店挂在门前作为标志的旗帜	
鲢	鰱	lyán	鲢子，白鲢	一种淡水鱼	
燫	燫	lyán			
粮	糧	lyáng	粮食，征粮		
粱	粱	lyáng	高粱，黄梁一梦		
良	良	lyáng	良好，优良		
凉	涼	lyáng	凉爽，乘凉		
量	量	lyáng	量杯，考量，商量，量血压	估计，考虑；用器具确定物体的性质	
梁	梁	lyáng	栋梁，鼻梁		樑
莨	莨	lyáng	莨绸，薯莨	指薯莨	
撩	撩	lyáu	撩拨，撩惹，撩人，撩逗，撩动，花香撩人	挑弄，招惹，引逗，挑逗	
寥	寥	lyáu	寂寥，寥寥无几		
僚	僚	lyáu	官僚，幕僚		
寮	寮	lyáu			
疗	療	lyáu	疗养，治疗，医疗		
嘹	嘹	lyáu	嘹亮		
辽	遼	lyáu	辽宁		
燎	燎	lyáu	燎原		
聊	聊	lyáu	聊天，无聊，聊胜于无		
缭	繚	lyáu	缭绕，缭乱		
獠	獠	lyáu	獠牙		
潦	潦	lyáu	潦草		
捩	捩	lyè	转捩点		
劣	劣	lyè	恶劣，拙劣，优劣		
烈	烈	lyè	烈士，热烈，强烈		
列	列	lyè	列车，行列		
冽	冽	lyè	凛冽	寒冷	
猎	獵	lyè	猎人，打猎		
鬣	鬣	lyè	鬣狗，鬣蜥	动物后颈上的长毛	
裂	裂	lyè	裂缝，破裂		
𫚭	鱲	lyè	𫚭鱼，赤𫚭角	一种鱼	
䴕	鴷	lyè		啄木鸟	
埒	埒	lyè/lè	埒垣，界埒	相当，等同，相等，同等，均等，并立	
六	六	lyòu		（数字）	
遛	遛	lyòu	遛大街	随意慢走	
陆	陸	lyòu		数字“六”的大写	
溜	溜	lyòu	水溜，大溜，檐溜，一溜烟，随大溜	急流的水；（量词）行列，排，条	
碌	碌	lyòu/lù	碌碡	一种石制的农具	
流	流	lyóu	流利，寒流		
瘤	瘤	lyóu	肿瘤		
馏	餾	lyóu	蒸馏水		
留	留	lyóu	留学，留下		
浏	瀏	lyóu	浏览		
琉	琉	lyóu	琉璃，琉球		
硫	硫	lyóu	硫磺，硫酸	化学元素16	
刘	劉	lyóu		（姓）	
榴	榴	lyóu	石榴，番石榴		
骝	騮	lyóu	骅骝	良马；黑鬃黑尾的红马	
鹠	鶹	lyóu	鸺鹠	一种猫头鹰	
鎏	鎏	lyóu			
氯	氯	lyù			
虑	慮	lyù	考虑，忧虑，远虑		
绿	綠	lyù	绿色，绿叶，浅绿		
律	律	lyù	律师，纪律		
率	率	lyù	比率，利率，效率，频率，功率，税率，速率，圆周率，百分率	一定的标准、准则或比例	
滤	濾	lyù	滤纸，过滤		
驴	驢	lyú	驴子，毛驴		
闾	閭	lyú	闾巷，响彻闾巷	巷口的门	
榈	櫚	lyú	棕榈树		
撩	撩	lyāu	撩开，撩起，撩水，撩起来，撩裙子，撩起门帘，撩上点水	提，掀起；用手洒水	
咧	咧	lyě	咧嘴，咧着嘴笑	嘴巴斜着张开	
蹓	蹓	lyōu	蹓跶	散步	
溜	溜	lyōu	溜冰，溜达，溜走，溜圆，溜光，溜槽，溜狗，溜走，溜开，偷溜，溜课，溜工，溜掉，滑溜，开溜，溜滑梯，溜冰场，溜回家，溜旱冰，光溜溜，圆溜溜，酸溜溜，乌溜溜，顺口溜，溜须拍马，溜之大吉	滑行；平滑，光滑，圆润，无阻碍；偷偷走开	
俩	倆	lyǎ	我们俩	两个人	
脸	臉	lyǎn	脸面，笑脸		
敛	斂	lyǎn/lyàn	收敛		
裣	襝	lyǎn/lyàn	裣衽		斂
两	兩	lyǎng	两岸，银两		
魉	魎	lyǎng	魍魉	传说中山林里的鬼怪	
俩	倆	lyǎng	伎俩		
了	了	lyǎu	了得，了断，了结，了账，了却，终了，未了，聪了，了了，了不起，了不得，办得了，做得了，受不了，动不了，来不了，了却心愿，了无新意，了无生趣，一了百了，不了了之，没完没了	结束，完全，全然；（动词后）可能	
了	瞭	lyǎu	了解，明了，了如指掌，一目了然	明白，懂得	
蓼	蓼	lyǎu		一种植物	
钌	釕	lyǎu	钌铞儿	扣住门窗等的铁片	
柳	柳	lyǒu	柳树，杨柳		
绺	綹	lyǒu	一绺头发，一绺丝线	计算头发、丝线、胡须等的量词	
捋	捋	lyǔ	捋胡子，捋头发，捋出个头绪		
吕	呂	lyǔ		（姓）	
褛	褸	lyǔ	褴褛		
缕	縷	lyǔ			
履	履	lyǔ	履历，革履		
旅	旅	lyǔ	旅行，军旅		
铝	鋁	lyǔ			
膂	膂	lyǔ	膂力，膂力过人		
屡	屢	lyǔ	屡次，履行		
侣	侶	lyǔ	伴侣，情侣，僧侣		
腊	臘	là	腊肉，希腊		
辣	辣	là	辣椒		
蜡	蠟	là	蜡烛		
落	落	là	落下，丢三落四	丢下，遗漏，忘了拿，被丢在后面	
剌	剌	là	乖剌，赫剌剌	乖戾，违戾，乖张	
癞	癩	lài	癞皮狗，癞蛤蟆		
籁	籟	lài	天籁		
睐	睞	lài	青睐		
赖	賴	lài	依赖，信赖，无赖，耍赖		
赉	賚	lài	赐赉，赏赉	赏赐，赠送，赐给	
滥	濫	làn	滥用，泛滥		
烂	爛	làn	腐烂，灿烂		
浪	浪	làng	浪涛，波浪		
莨	莨	làng	莨菪	一种多年生草本植物	
蒗	蒗	làng	宁蒗	（地名）	
阆	閬	làng	阆中，阆苑	（地名）	
涝	澇	làu	涝灾，洪涝	雨水过多而造成水灾	
烙	烙	làu	烙印，烙饼，烙衣服，烙馅儿饼	（动）烤熟；用烧热的金属留下标志	
嫪	嫪	làu	嫪毐	（姓）	
酪	酪	làu/lwò	乳酪，奶酪，干酪		
旯	旯	lá	旮旯，破纸箱的旮旯		
砬	砬	lá	砬子，红石砬	（地名）大石块，大岩石	
拉	拉	lá	拉开，拉下，拉口子，拉下一块肉，拉了一个口子	用刀割，切开，割开，切断，划破	
来	來	lái	来往，未来		
徕	徠	lái	招徕	招揽，把人招来	
莱	萊	lái	蓬莱		
崃	崍	lái		（地名）	
涞	淶	lái	涞水	（地名）	
岚	嵐	lán		山中的雾气	
栏	欄	lán	栏杆，专栏		
篮	籃	lán	篮子，摇篮		
斓	斕	lán	斑斓	灿烂多彩	
拦	攔	lán	拦截，阻拦		
蓝	藍	lán	蓝色，甘蓝		
兰	蘭	lán	兰花		
澜	瀾	lán	波澜，力挽狂澜	波浪	
婪	婪	lán	贪婪		
褴	襤	lán	褴褛	衣服破烂	
阑	闌	lán	阑尾，夜阑人静		
襕	襴	lán		古代上下衣相连的服装	
榔	榔	láng	榔头，槟榔		
郎	郎	láng	郎君，郎中，新郎，情郎，牛郎，女郎，令郎，大郎，郎才女貌	称年轻男子；（旧）称别人的儿子	
狼	狼	láng	狼狈		
螂	螂	láng	蟑螂，螳螂		
廊	廊	láng	走廊		
锒	鋃	láng	锒铛	象声词，金属的声音	
琅	瑯	láng	珐琅，琳琅，琅琊		
阆	閬	láng	闶阆，阆阆	高大，空旷	
劳	勞	láu	劳动，劳累，劳驾，功劳，疲劳，操劳，勤劳，不劳而获，吃苦耐劳	辛勤，努力，勤苦做事	
唠	嘮	láu	唠叨		
醪	醪	láu	醪糟	酒，浊酒	
痨	癆	láu	肺痨，痨病		
牢	牢	láu	牢狱，坐牢		
劳	勞	láu/làu	劳军，劳兵，犒劳，慰劳	慰问，慰勉辛苦或有功劳的人	
乐	樂	lè	乐趣，快乐	快活，欢喜，高兴；笑	
勒	勒	lè	勒索，勒令，勒紧		
鳓	鰳	lè	鳓鱼		
类	類	lèi	类别，种类		
泪	淚	lèi	泪水，眼泪		
累	累	lèi	累人，劳累，受累	疲劳，疲惫，疲乏	
擂	擂	lèi	擂台，摆擂，打擂	指擂台	
肋	肋	lèi/lè	肋骨，两肋		
愣	愣	lèng			楞
擂	擂	léi	擂鼓，擂钵，自吹自擂	打	
镭	鐳	léi		化学元素88	
雷	雷	léi	雷声，雷电		
嫘	嫘	léi	嫘萦，嫘祖	（象声词，用于人名）	
累	累	léi	累赘	麻烦，多余	
累	纍	léi	累累	绳索；连接成串；颓丧	
羸	羸	léi	羸顿，羸弱	瘦，弱	
缧	縲	léi	缧绁	捆绑犯人的绳索	
棱	稜	léng	棱角，模棱两可	物体的角	
崚	崚	léng	崚嶒	形容山高的样子	
例	例	lì	例子，例外，范例		
历	歷	lì	历史，经历		
砺	礪	lì	磨砺		
砾	礫	lì	砾石，沙砾，瓦砾		
雳	靂	lì	霹雳		
荔	荔	lì	荔枝		
莉	莉	lì	茉莉茶		
莅	蒞	lì	莅临		
沥	瀝	lì	沥青，呕心沥血		
利	利	lì	利益，利落，流利，锋利		
栗	慄	lì	战栗，不寒而栗		
栗	栗	lì	栗子，火中取栗		
力	力	lì	力气，有力		
猁	猁	lì	猞猁		
枥	櫪	lì	老骥伏枥	马槽	
傈	傈	lì	傈僳族		
励	勵	lì	鼓励，勉励，奖励		
蛎	蠣	lì	牡蛎		
历	曆	lì	日历，月历		
笠	笠	lì	斗笠		
俐	俐	lì	伶俐		
痢	痢	lì	痢疾		
丽	麗	lì	美丽		
篥	篥	lì	觱篥	一种古代管乐器	
俪	儷	lì	伉俪		
立	立	lì	立场，站立		
吏	吏	lì	官吏		
厉	厲	lì	厉害		
粒	粒	lì			
隶	隸	lì	隶属，奴隶		
戾	戾	lì	乖戾，暴戾，罪戾	违背，不讲道理，罪过	
溧	溧	lì	溧水，溧阳	（水名，地名）	
郦	酈	lì		（姓）	
栎	櫟	lì	栎树	一种落叶乔木	
詈	詈	lì	詈骂，詈语	骂，责骂，辱骂	
疠	癘	lì	疫疠，疠疫	瘟疫，疫病	
琍	琍	lì			
躏	躪	lìn	蹂躏		
赁	賃	lìn	租赁		
吝	吝	lìn	吝啬，不吝赐教		
蔺	藺	lìn		灯心草	
另	另	lìng	另外		
令	令	lìng	命令，口令	使，使得；上级的指示；季节	
犂	犂	lí	犁田		
犁	犁	lí	犁地	耕地的农具	
缡	縭	lí	结缡	古时妇女的佩巾	
狸	狸	lí	狐狸，海狸		貍
蜊	蜊	lí	蛤蜊		
厘	釐	lí	釐清		
离	離	lí	离开		
鲡	鱺	lí	鳗鲡		
梨	梨	lí			
喱	喱	lí			
黎	黎	lí	黎明，巴黎		
璃	璃	lí	玻璃，琉璃		
漓	漓	lí	淋漓尽致		
罹	罹	lí	罹难		
藜	藜	lí	藜麦，蒺藜		蔾
篱	籬	lí	篱笆，藩篱		
蠡	蠡	lí	以蠡测海	瓠瓢	
鹂	鸝	lí	黄鹂	一种金黄色的鸟	
黧	黧	lí	黧黑	黑色，黑黄相杂的颜色	
瓈	瓈	lí			
骊	驪	lí			
磷	磷	lín	磷光		
琳	琳	lín			
麟	麟	lín	麒麟		
临	臨	lín	临时，临头		
遴	遴	lín	遴选	谨慎选择	
璘	璘	lín		玉的光彩	
林	林	lín	林立，树林		
淋	淋	lín	淋雨，淋漓尽致		
粼	粼	lín	粼粼，粼粼碧波	形容水清澈明净	
嶙	嶙	lín	嶙嶙，嶙峋	山石重叠不平	
啉	啉	lín	喹啉	一种有机化合物	
霖	霖	lín			
鳞	鱗	lín	鱼鳞		
邻	鄰	lín	邻居		
聆	聆	líng	聆听		
陵	陵	líng	陵墓，丘陵		
羚	羚	líng	羚羊		
绫	綾	líng			
铃	鈴	líng	铃声，门铃		
菱	菱	líng	菱角，菱形		
苓	苓	líng	茯苓		
鲮	鯪	líng	鲮鱼，鲮鲤	一种淡水鱼	
囹	囹	líng	囹圄	囹圄：古代称监狱	
龄	齡	líng	年龄，同龄，高龄		
翎	翎	líng	翎毛，雁翎	鸟翅膀和尾部上的长羽毛	
玲	玲	líng	玲珑，八面玲珑		
伶	伶	líng	伶俐，伶仃		
零	零	líng	零钱，零食，飘零		
呤	呤	líng	嘌呤	小声说话	
灵	靈	líng	灵魂，心灵		
凌	凌	líng	凌空，欺凌		
櫺	櫺	líng	窗櫺		
令	令	líng	令狐	（复姓）	
蛉	蛉	líng	白蛉，螟蛉	一种昆虫	
漏	漏	lòu	漏水，遗漏		
陋	陋	lòu	陋屋，简陋，丑陋		
露	露	lòu	露出，透露		
镂	鏤	lòu	镂空，雕镂	雕刻	
偻	僂	lóu	佝偻，佝偻着腰		
娄	婁	lóu		（姓）	
螻	螻	lóu	蝼蛄		
楼	樓	lóu	楼梯，大楼		
髅	髏	lóu	骷髅		
漉	漉	lù	湿漉漉		
录	錄	lù	录像，记录		
陆	陸	lù	陆地，大陆		
禄	祿	lù	厚禄，俸禄，福禄寿		
麓	麓	lù	山麓		
碌	碌	lù	碌碌，忙碌，庸碌，劳碌，一骨碌	繁忙，繁杂；平凡，没有才能	
赂	賂	lù	贿赂		
璐	璐	lù	赛璐珞	美玉	
辘	轆	lù	辘轳，轱辘		
露	露	lù	露水，朝露		
路	路	lù	路口，马路		
鹭	鷺	lù	白鹭		
鹿	鹿	lù	鹿茸，长颈鹿		
戮	戮	lù	杀戮		
潞	潞	lù	潞城，潞水	（水名，地名）	
辂	輅	lù	辂车，辂马	古代的一种大车，帝王用的大车	
蓼	蓼	lù		形容植物长大的样子	
逯	逯	lù			
鲈	鱸	lú	鲈鱼	一种海鱼	
芦	蘆	lú	芦苇，葫芦		
轳	轤	lú	辘轳		
颅	顱	lú	颅骨，头颅		
胪	臚	lú	胪列	陈列，罗列	
卢	盧	lú		（姓）	
庐	廬	lú	庐山，茅庐		
炉	爐	lú	炉灶，火炉		
泸	瀘	lú	泸水	（水名）	
栌	櫨	lú	欂栌，黄栌	房屋架在柱上以支撑栋梁的短木	
舻	艫	lú	舳舻	船头	
龙	龍	lúng	龙眼，恐龙		
隆	隆	lúng	隆重，隆冬，隆起，兴隆		
珑	瓏	lúng	玲珑		
窿	窿	lúng	窟窿		
胧	朧	lúng	朦胧	月光不明亮	
昽	曨	lúng	曚昽	日光不明亮	
笼	籠	lúng	笼子，鸟笼，蒸笼，灯笼	（名词）指笼子	
聋	聾	lúng	聋哑，聋子		
眬	矓	lúng	蒙眬	模糊	
咙	嚨	lúng	喉咙		
茏	蘢	lúng	茏葱，葱茏	草木青翠茂盛	
砻	礱	lúng	砻糠，砻坊	去掉稻壳的工具	
