啊	啊	a·	不錯啊，多美啊，快來啊，很好啊，小心啊	（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣	
模	模	mó	模型，規模		
無	无	mó	南無	（梵文音譯詞）	
磨	磨	mó	磨刀，磨損，磨滅，磨難，磨光，磨功，磨墨，磨煩，磨牙，磨破，磨粉，磨細，磨練，折磨，研磨，窮磨，磨刀石，磨洋工，磨工夫，好事多磨，消磨間，百世不磨，磨成粉末，鐵杵磨成針	摩擦	
蘑	蘑	mó	蘑菇		
摩	摩	mó	摩擦，觀摩	接觸，靠近，揉動，擦動	
膜	膜	mó	膜拜	跪拜	
饃	馍	mó	饃饃		
魔	魔	mó	魔鬼，魔法，妖魔鬼怪		
摹	摹	mó	摹寫，摹仿		
謨	谟	mó	宏謨	計策，計劃	
膜	膜	mó/mò	隔膜，耳膜，腦膜，網膜，黏膜	人、動物、植物等體內部的薄皮形組織	
嬤	嬷	mó/mā	嬤嬤	稱呼年老的婦女	
眸	眸	móu	眸子，眼眸		
謀	谋	móu	謀略，陰謀，不謀而合	計策，策劃，商討，設法尋求	
牟	牟	móu	牟利，牟取	想盡辦法得到	
繆	缪	móu	未雨綢繆		
募	募	mù	募集，籌募		
幕	幕	mù	幕後，開幕		
暮	暮	mù	暮色，朝暮		
苜	苜	mù	苜蓿		
慕	慕	mù	羨慕		
睦	睦	mù	和睦		
木	木	mù	木頭，麻木		
仫	仫	mù	仫佬族		
墓	墓	mù	墓碑，墳墓		
沐	沐	mù	沐浴		
牧	牧	mù	牧羊，遊牧		
目	目	mù	目前，節目		
鉬	钼	mù		化學元素42	
穆	穆	mù	穆斯林，肅穆		
模	模	mú	模子，模樣，字模		
媽	妈	mā	媽媽，舅媽，姨媽	母親；對女長輩的稱呼	
抹	抹	mā	抹布，抹桌子，抹下來	擦	
嫚	嫚	mān	嫚子	（方言）女孩子	
顢	颟	mān/mán	顢頇	糊塗，疏忽，不懂事理	
貓	猫	māo	貓眼，野貓		
悶	闷	mēn	悶熱，悶聲悶氣	空氣不流通以至感到不舒暢；不吭聲	
矇	蒙	mēng	矇蔽，矇騙，矇混，矇著，矇住，矇事，矇頭轉向	欺騙，亂猜，神智不清	
美	美	měi	美麗，鮮美		
每	每	měi			
鎂	镁	měi		化學元素12	
浼	浼	měi	央浼	請求，請託	
蜢	蜢	měng	草蜢		
懵	懵	měng	懵懂		
錳	锰	měng		化學元素25	
猛	猛	měng	猛烈，猛獸，兇猛		
勐	勐	měng	勐海	（地名）	
蠓	蠓	měng	蠓蟲	一種吸血的昆蟲，比蚊子小	
獴	獴	měng	獴哥，狐獴	一種哺乳動物	
蒙	蒙	měng/méng	蒙古，內蒙	蒙古，內蒙，蒙古族等的簡稱	
咪	咪	mī			
瞇	眯	mī	瞇眼，瞇縫		
摸	摸	mō	摸頭，撫摸		
哞	哞	mōu		（擬聲詞）牛叫聲	
螞	蚂	mǎ	螞蟻，螞蟥		
瑪	玛	mǎ	瑪瑙		
嗎	吗	mǎ	嗎啡		
馬	马	mǎ	馬上，騎馬		
碼	码	mǎ	碼頭，號碼		
獁	犸	mǎ	猛獁	毛象	
蕒	荬	mǎi	苣蕒菜		
買	买	mǎi	買帳，購買		
滿	满	mǎn	滿意，充滿		
蟎	螨	mǎn	蟎蟲，塵蟎	一種節肢動物	
蟒	蟒	mǎng	蟒蛇，巨蟒		
莽	莽	mǎng	莽撞，魯莽		
鉚	铆	mǎo	鉚釘，鉚接，鉚足了勁	用釘子把金屬物連在一起	
卯	卯	mǎo	卯時	早晨五時到七時	
昴	昴	mǎo			
米	米	mǐ	米飯，稻米		
羋	羋	mǐ		（姓）	
脒	脒	mǐ	磺胺脒	一種有機化合物	
靡	靡	mǐ/mí	風靡，靡靡之音	奢侈，浪費	
閔	闵	mǐn		（姓）	
敏	敏	mǐn	敏感，過敏	迅速，靈活	
泯	泯	mǐn	泯滅，未泯	消除，喪失	冺
憫	悯	mǐn	憐憫	同情	
抿	抿	mǐn	抿嘴		
皿	皿	mǐn	器皿		
黽	黾	mǐn	黽勉	努力，盡力	
愍	愍	mǐn			
湣	湣	mǐn			
鰵	鳘	mǐn		鱈魚的通稱	
慜	慜	mǐn	慜念，慜顧	哀憐，憐憫	
閩	闽	mǐn/mín	閩江，閩南	（地名）	
酩	酩	mǐng/míng	酩酊大醉		
抹	抹	mǒ	抹黑，塗抹，抹殺，抹眼淚	塗，擦，去除	
某	某	mǒu	某人		
拇	拇	mǔ	拇指，大拇指		
牡	牡	mǔ	牡丹，牡蠣		
母	母	mǔ	母親，字母		
姆	姆	mǔ	保姆		
畝	亩	mǔ	公畝，地畝		
哪	哪	na·	天哪	（語氣助詞）表示驚訝或停頓	
呢	呢	ne·	哪兒呢，怎麼辦呢	（助詞）表示疑問、確定、停頓、動作正在繼續等	
念	念	niàn	念頭，信念		
廿	廿	niàn			
唸	念	niàn	唸書，默唸		
釀	酿	niàng	釀成，醞釀		
尿	尿	niào	尿盆，泌尿		
溺	溺	niào	便溺	尿，小便	
脲	脲	niào	硫脲	尿素，一種有機化合物	
年	年	nián	年份，新年		
黏	黏	nián	黏度，黏土，黏液，黏糊，黏稠，黏性，黏膜，黏著，黏附，黏接，黏住，黏合，黏結，發黏，很黏，黏著力	（形容詞）像膠水一樣有附著力	粘
鯰	鲇	nián	鯰魚		鮎
粘	粘	nián		（姓）	
娘	娘	niáng	娘子，姑娘		孃
聶	聂	niè		（姓）	
囁	嗫	niè	囁嚅	嘴動著，吞吞吐吐，欲言又止的樣子	
涅	涅	niè	涅槃		
臬	臬	niè	圭臬，奉為圭臬	把某些事物﹑言論信奉為依據的準則	
隉	陧	niè	杌隉	不安定	
顳	颞	niè	顳葉，顳骨		
齧	啮	niè	齧齒類	咬，啃噬	囓
鑷	镊	niè	鑷子	拔除毛髮等細小東西的工具	
孽	孽	niè	孽障，造孽		
躡	蹑	niè	躡手躡腳		
鎳	镍	niè		化學元素28	
櫱	蘖	niè	櫱酒，麴櫱	釀酒的麴	
拗	拗	niù	執拗，拗不過，脾氣很拗	固執，不順從	
牛	牛	niú	牛奶，吹牛		
蔫	蔫	niān	萎蔫	植物失去水份而萎縮；沒精打采	
拈	拈	niān/nián	拈花惹草		
捏	捏	niē	捏造，揉捏		
妞	妞	niū	妞兒，小妞	（方言）女孩子	
捻	捻	niǎn		用手指搓轉	
輦	辇	niǎn		趕走，追趕	
碾	碾	niǎn	碾米，碾碎		
攆	撵	niǎn	攆走，攆出去	皇帝乘坐的車子	
鳥	鸟	niǎo	鳥籠，候鳥		
裊	袅	niǎo	裊娜，裊裊	柔軟細長，繚繞，隨風擺動	
扭	扭	niǔ	扭轉，扭捏		
紐	纽	niǔ	紐約，樞紐		
忸	忸	niǔ	忸怩		
鈕	钮	niǔ	鈕釦，電鈕		
懦	懦	nuò	懦夫，怯懦		
糯	糯	nuò	糯米		
諾	诺	nuò	諾言，承諾		
挪	挪	nuó	挪動，挪用		
娜	娜	nuó	婀娜，裊娜		
暖	暖	nuǎn	暖和，溫暖		
衲	衲	nà	老衲	和尚的衣服；和尚自稱	
鈉	钠	nà		化學元素11	
捺	捺	nà	按捺不住	按，摁，用手重按	
納	纳	nà	納稅，納悶，採納		
那	那	nà	那裡，那個，那年，那時，那地方，那棵樹，那時候	（指定代名詞）	
吶	呐	nà	吶喊，木吶		
娜	娜	nà	麗娜，安娜	（人名用字）	
耐	耐	nài	耐心，忍耐		
奈	奈	nài	無奈	如何，怎麼辦	
鼐	鼐	nài		大鼎	
萘	萘	nài		有機化合物，一種結晶狀芳香烴	
難	难	nàn	難民，災難	（名詞）	
鬧	闹	nào	鬧市，鬧劇，熱鬧，吵鬧		
淖	淖	nào		泥沼，爛泥	
拿	拿	ná			
南	南	nán	南方，南邊，南面，南風，指南針		
男	男	nán	男人，少男		
楠	楠	nán			
喃	喃	nán	喃喃自語		
難	难	nán	難道，難題，艱難，困難	（形容詞）	
囊	囊	náng	囊括，行囊	口袋	
饢	馕	náng		一種烤製的麵餅	
鐃	铙	náo	鐃鈸	銅質的打擊樂器	
撓	挠	náo	阻撓，百折不撓		
猱	猱	náo	猱犬，蠼猱	猿類	
訥	讷	nè	木訥	語言遲鈍，不善言辭	
那	那	nè/nèi	那樣，那麼，那些人，那座樓，那會兒	（指定代名詞）	
內	内	nèi	內部，國內		
嫩	嫩	nèn	嫩葉，嬌嫩		
哪	哪	né/nuó	哪吒	（梵文音譯詞）	那
能	能	néng	能力，才能		
逆	逆	nì	逆轉，逆向，叛逆		
匿	匿	nì	匿名，藏匿		
溺	溺	nì	溺水，溺死		
暱	昵	nì	暱稱，親暱		
膩	腻	nì	膩了，甜膩		
睨	睨	nì	睥睨，斜睨	斜眼看	
泥	泥	nì	泥古，泥牆，泥壁，拘泥，泥古不化	固執，拘束，死板，停留不前；塗抹，塗飾，用土、灰等塗抹牆壁或器物	
濘	泞	nìng	泥濘		
擰	拧	nìng	擰性，擰脾氣	倔強，彆扭	
寧	宁	nìng	寧可，寧願，寧死不屈，寧缺毋濫	情願	
佞	佞	nìng	佞臣，佞人	善辯，巧言諂媚	
寧	宁	nìng		（姓）	甯
鈮	铌	ní		化學元素41	
泥	泥	ní	泥土，泥巴，泥坑，泥濘，稀泥，水泥，污泥，爛泥，印泥，蒜泥，棗泥，肉泥，淤泥，土豆泥，泥牛入海，拖泥帶水	水和土合成的半固體；像泥的東西	
猊	猊	ní	狻猊	獅子	
怩	怩	ní	忸怩		
倪	倪	ní	端倪		
尼	尼	ní	尼姑		
霓	霓	ní	霓虹燈		蜺
呢	呢	ní	呢子，呢料，呢絨，毛呢，厚呢，呢喃	一種毛織品	
坭	坭	ní	白坭	（地名）	
鯢	鲵	ní	鯢魚，大鯢	一種像蜥蜴的兩棲類動物	
您	您	nín			
檸	柠	níng	檸檬		
凝	凝	níng	凝固，凝視		
擰	拧	níng	擰毛巾，擰衣服，擰繩子，擰一把	用手向相反的方向轉動	
嚀	咛	níng	叮嚀		
獰	狞	níng	獰笑，猙獰		
寧	宁	níng	寧靜，安寧，息事寧人，坐臥不寧	安靜，平靜，安定	
弄	弄	nòng	弄錯，愚弄		
農	农	nóng	農田，茶農		
膿	脓	nóng	膿包，出膿		
濃	浓	nóng	濃密，香濃		
儂	侬	nóng	你儂我儂，吳儂軟語	（方言）你	
噥	哝	nóng	噥噥，咕噥	小聲說話	
怒	怒	nù	怒火，發怒		
奴	奴	nú	奴隸，守財奴		
駑	驽	nú	駑鈍，駑馬	低劣，軟弱，不好，愚鈍，劣馬	
虐	虐	nüè	虐待，暴虐	殘暴	
瘧	疟	nüè	瘧疾	蚊子傳染的疾病；打擺子	
南	南	nā	南無	（梵文音譯詞）	
那	那	nā		（姓）	
囡	囡	nān	小囡	（方言）小孩	
囔	囔	nāng	囔囔，嘟囔	說話聲音小而聽不清楚	
孬	孬	nāo	孬脾氣，孬種	（方言）不好，怯弱	
哪	哪	něi	哪個	（疑問詞，用於口語）	
餒	馁	něi	氣餒	失去勇氣	
妮	妮	nī/ní	妮子，婢妮	女孩子	
哪	哪	nǎ	哪裡，哪兒，哪呢	（疑問詞）	
乃	乃	nǎi	乃至	是	迺
氖	氖	nǎi		化學元素10	
奶	奶	nǎi	奶粉，牛奶		
腩	腩	nǎn	牛腩	腹部的肥肉	
赧	赧	nǎn	赧然	因羞愧而面紅	
饢	馕	nǎng	饢嗓，饢糠，饢糟	拼命往嘴裡塞食物	
惱	恼	nǎo	惱火，煩惱		
腦	脑	nǎo	腦子，大腦		
瑙	瑙	nǎo	瑙魯，瑪瑙		
妳	你	nǐ		代詞，指對方（專指女性）	
擬	拟	nǐ	擬定，模擬，虛擬	模仿；起草	
你	你	nǐ		代詞，指對方	
旎	旎	nǐ	旖旎，旖旎風情	柔和美麗	
擰	拧	nǐng	擰緊，擰開，擰螺絲，想擰了，越說越擰	控制住並轉動	
弩	弩	nǔ			
努	努	nǔ	努力		
女	女	nǚ	女人，少女		
釹	钕	nǚ		化學元素60	
衄	衄	nǜ	鼻衄，齒衄	出血	衂
騙	骗	piàn	騙子，騙局，欺騙		
片	片	piàn			
漂	漂	piào	漂亮	美，好看	
票	票	piào	票房，買票		
嘌	嘌	piào	嘌呤	一種有機化合物	
驃	骠	piào	驃國，驃人，驃信，驃騎，驃勇	古代國名，也指勇猛，或馬奔跑的樣子	
駢	骈	pián	駢文	成雙的東西	
便	便	pián	便宜，大腹便便		
胼	胼	pián	胼胝	手腳上的厚繭	
瓢	瓢	piáo			
嫖	嫖	piáo	嫖娼，嫖妓，嫖客		
朴	朴	piáo		（姓）	
片	片	piān	片子，唱片，影片，相片	（用於口語）指影片、唱片等	
偏	偏	piān	偏見，偏偏，不偏不倚		
篇	篇	piān	篇幅，一篇文章		
翩	翩	piān	翩翩	很快地飛舞	
扁	扁	piān	扁舟	小	
漂	漂	piāo	漂浮，漂移，漂泊，漂流	浮在液體上；隨風或液體流動	
飄	飘	piāo			
縹	缥	piāo	縹緲	隱隱約約，若有若無	
剽	剽	piāo/piào	剽悍，剽竊		
瞥	瞥	piē	瞥一眼		
撇	撇	piē	撇開，撇掉，撇棄，撇下，撇油，撇在一邊	拋棄，不顧，棄置不顧	
撇	撇	piě	撇筆，撇號，撇嘴，左撇子，八字沒一撇	向左斜下的漢字筆畫	
瞟	瞟	piǎo	瞟了你一眼，用眼角瞟瞟旁邊		
漂	漂	piǎo	漂洗，漂白，漂染	用水沖洗，或用化學藥品使紡織品變白	
怕	怕	pà	怕苦，害怕		
帕	帕	pà	手帕		
派	派	pài	派遣，黨派		
湃	湃	pài	澎湃		
哌	哌	pài	哌嗪	（譯音用字）	
盼	盼	pàn	盼望，期盼		
判	判	pàn	判斷，裁判		
畔	畔	pàn	河畔，湖畔		
叛	叛	pàn	叛徒，背叛		
拚	拚	pàn	拚命		
袢	袢	pàn	袷袢	一種對襟長袍	
胖	胖	pàng	胖子，肥胖		
疱	疱	pào	疱疹		皰
炮	炮	pào	炮轟，鞭炮		砲，礮
泡	泡	pào	泡沫，泡子，泡湯，泡影，泡茶，泡水，泡菜，泡澡，泡飯，泡麵，氣泡，水泡，燈泡，浸泡，起泡，冒泡，發泡，泡吧，泡時間，肥皂泡，電燈泡	液體內有空氣的球狀物	
琶	琶	pá	琵琶		
杷	杷	pá	枇杷		
耙	耙	pá	耙子，耙地，把麥子耙成一堆	平整穀物柴草等的工具	
爬	爬	pá	爬山，爬行，亂爬		
扒	扒	pá	扒草，扒癢，扒手，扒竊，扒走，扒飯，扒雞，扒錢包，扒白菜，扒羊肉，吃裡扒外	用手或耙子一類的工具使東西聚攏或散開；偷竊；燉，煨爛	
排	排	pái	排隊，牛排		
徘	徘	pái	徘徊		
牌	牌	pái	牌桌，名牌，打牌		
俳	俳	pái	俳句		
槃	槃	pán	涅槃	超脫生死的境界	
磐	磐	pán	磐石，風雨如磐	巨大的石頭	
蟠	蟠	pán	蟠桃，蟠龍		
盤	盘	pán	盤子，全盤		
蹣	蹒	pán/mán	蹣跚		
彷	仿	páng	彷徨	徘徊不前，猶疑不決的樣子	
龐	庞	páng	龐大		
旁	旁	páng	旁邊，身旁		
螃	螃	páng	螃蟹		
磅	磅	páng	磅礴	盛大，廣大，充滿，無邊際	
膀	膀	páng	膀胱		
庖	庖	páo	越俎代庖		
袍	袍	páo	袍子，長袍		
匏	匏	páo	匏瓜	瓢葫蘆	
咆	咆	páo	咆哮		
刨	刨	páo	刨土，刨坑，刨去	（動詞）挖掘，減，除去	
麅	狍	páo	麅子，西方麅	一種鹿	
佩	佩	pèi	佩戴，欽佩		
珮	珮	pèi			
霈	霈	pèi			
沛	沛	pèi	充沛，豐沛		
配	配	pèi	配合，相配		
轡	辔	pèi	馬轡	駕馭牲口的嚼子和韁繩	
帔	帔	pèi			
碰	碰	pèng	碰到，相碰		
賠	赔	péi	賠償，索賠		
陪	陪	péi	陪同，奉陪，失陪		
培	培	péi	培養，栽培		
裴	裴	péi		（姓）	
盆	盆	pén	盆地，骨盆		
澎	澎	péng	澎湖	（地名）	
棚	棚	péng			
彭	彭	péng		（姓）	
蓬	蓬	péng	蓬萊，蓮蓬		
膨	膨	péng	膨脹		
硼	硼	péng		化學元素5	
篷	篷	péng	帳篷		
朋	朋	péng	朋友，狐朋狗友		
鵬	鹏	péng			
芃	芃	péng			
澎	澎	péng/pēng	澎湃		
僻	僻	pì	偏僻		
屁	屁	pì	屁股，放屁		
闢	辟	pì	開闢，開天闢地，精闢	開拓，開墾，排除	
譬	譬	pì	譬如		
媲	媲	pì	媲美	比得上	
睥	睥	pì	睥睨	斜眼看	
濞	濞	pì		（水名）	
鷿	䴙	pì	鷿鷈	一種水鳥	鸊
牝	牝	pìn		雌性	
聘	聘	pìn	聘請，應聘		
啤	啤	pí	啤酒		
皮	皮	pí	皮膚，調皮		
疲	疲	pí	疲憊，疲倦，疲乏		
琵	琵	pí	琵琶		
貔	貔	pí	貔貅	一種猛獸，像虎	
脾	脾	pí	脾臟，脾氣		
枇	枇	pí	枇杷		
蜱	蜱	pí	蜱蟲	一種寄生蟲	
毗	毗	pí	毗鄰	接連	
郫	郫	pí	郫縣	（地名）	
裨	裨	pí	裨將，偏裨	輔佐的	
狓	狓	pí	狓猖，霍加狓		
嬪	嫔	pín	嬪妃		
貧	贫	pín	貧乏，貧窮		
顰	颦	pín	顰眉，效顰		
頻	频	pín	頻繁，頻率，頻道，高頻，頻頻		
坪	坪	píng	草坪		
屏	屏	píng	屏幕，屏風，屏障，屏蔽，屏條，雀屏，畫屏，孔雀開屏	（動詞）遮擋；（名詞）擋風或隔間的用具	
蘋	苹	píng	蘋果		
評	评	píng	評論，批評		
平	平	píng	平常，和平，公平		
憑	凭	píng	憑藉，憑據，任憑，文憑		
瓶	瓶	píng	瓶子，花瓶		
萍	萍	píng	萍水相逢，浮萍		
魄	魄	pò	魄力，魂魄		
迫	迫	pò	迫使，逼迫		
破	破	pò	破壞，打破		
粕	粕	pò	糟粕	釀酒剩下來的渣滓	
珀	珀	pò	琥珀		
婆	婆	pó	婆婆，外婆		
鄱	鄱	pó	鄱陽湖	（地名）	
抔	抔	póu	一抔黃沙	用手捧東西	
瀑	瀑	pù	瀑布		
曝	曝	pù	曝光，曝曬，一曝十寒		
舖	铺	pù	舖子，店舖，舖蓋，床舖，舖位	名詞	鋪
璞	璞	pú	璞玉渾金，返璞歸真	含玉的石頭	
菩	菩	pú	菩提樹，菩薩		
葡	葡	pú	葡萄		
脯	脯	pú	胸脯，脯子	胸部	
僕	仆	pú	僕人，公僕		
匍	匍	pú	匍匐前進	緊貼地面	
蒲	蒲	pú	蒲公英		
莆	莆	pú	莆田	（地名）	
濮	濮	pú	濮陽	（地名）	
趴	趴	pā	趴下，趴在桌子上睡覺		
葩	葩	pā	雪葩，奇葩	花	
啪	啪	pā	劈里啪啦		
拍	拍	pāi	拍手，拍照，球拍		
潘	潘	pān		（姓）	
攀	攀	pān	攀登，攀談，高攀		
番	番	pān	番禺	（地名）	
乓	乓	pāng	乒乓球		
滂	滂	pāng	大雨滂沱		
泡	泡	pāo	眼泡，豆泡，一泡尿，一泡屎	鼓起而鬆軟的東西；（量詞）用於屎尿	
脬	脬	pāo	尿脬		
拋	抛	pāo	拋棄，拋開		
胚	胚	pēi	胚胎，胚芽		
呸	呸	pēi			
噴	喷	pēn	噴射，噴水，噴氣		
抨	抨	pēng	抨擊		
怦	怦	pēng	怦怦		
烹	烹	pēng	烹調，烹飪		
砰	砰	pēng			
捧	捧	pěng	捧場		
劈	劈	pī	劈開，劈柴，劈頭，劈面，劈山，劈啪，雷劈，劈頭劈腦，劈頭劈臉，劈風斬浪，劈里啪啦，直劈而下，天打雷劈	破開，裂開；（象聲詞）爆裂、拍打、撞擊等聲音	
丕	丕	pī		大	
披	披	pī	披肩，披頭散髮		
紕	纰	pī	紕漏，紕繆		
批	批	pī	批准，批評，批發		
霹	霹	pī	霹靂		
邳	邳	pī/péi	邳州	（地名）	
坯	坯	pī/pēi	坯布，磚坯，毛坯	沒有燒過的磚瓦或陶器，也泛指半製成品	
姘	姘	pīn	姘夫，姘婦，姘居	男女同居	
拼	拼	pīn	拼命，拼湊		
乒	乒	pīng	乒乓球		
娉	娉	pīng	娉婷		
頗	颇	pō	偏頗	偏，不正	
泊	泊	pō	湖泊，水泊，血泊，梁山泊，羅布泊	湖	
潑	泼	pō	潑辣，活潑		
釙	钋	pō		化學元素84	
坡	坡	pō	坡度，斜坡	傾斜的地方	
頗	颇	pō/pǒ	頗久，頗大，頗多，頗少，頗感興趣，頗有誠意，頗不以為然	略微，稍，很，甚	
剖	剖	pōu/pǒu	剖析，解剖		
仆	仆	pū	前仆後繼	跌倒；以面伏地	
噗	噗	pū	噗哧	（象聲詞）	
撲	扑	pū	撲過來，撲鼻，撲面，飛蛾撲火		
鋪	铺	pū	鋪床，鋪展，鋪路	動詞	
潽	潽	pū		液體沸騰溢出	
跑	跑	pǎo	跑步，慢跑		
匹	匹	pǐ	匹配，匹夫，一匹馬		
癖	癖	pǐ	怪癖，潔癖		
吡	吡	pǐ		斥責，詆毀	
痞	痞	pǐ	痞子，地痞		
仳	仳	pǐ	仳離	分離，離別	
疋	匹	pǐ		（量詞）用於綢、布等的整卷	
圮	圮	pǐ	圮毀，傾圮	毀壞，倒塌	
劈	劈	pǐ	劈叉，劈成兩股	分開，分裂，叉開	
否	否	pǐ	否極泰來	壞，惡，不好	
品	品	pǐn	品質，物品		
叵	叵	pǒ	叵測，居心叵測	不可	
笸	笸	pǒ	笸籮	盛穀物的器具	
普	普	pǔ	普通		
譜	谱	pǔ	譜曲，食譜，離譜		
浦	浦	pǔ		河邊或河水流入海的地方	
圃	圃	pǔ	花圃，園圃	種植蔬菜、花草、瓜果的園地	
溥	溥	pǔ	溥儀	廣大，普遍	
埔	埔	pǔ	黃埔	（地名）	
樸	朴	pǔ/pú	樸素，樸實，純樸	未加工的木料	
蹼	蹼	pǔ/pú	蹼趾，蹼足	水鳥、爬蟲動物等腳趾間的薄膜	
恰	恰	qià	恰當，恰好，恰恰		
洽	洽	qià	洽商，面洽，融洽		
髂	髂	qià	髂骨		
欠	欠	qiàn	欠缺，欠佳，哈欠		
歉	歉	qiàn	歉意，抱歉		
嵌	嵌	qiàn	鑲嵌		
芡	芡	qiàn	芡實，勾芡		
倩	倩	qiàn	倩影		
塹	堑	qiàn	塹壕，天塹		
茜	茜	qiàn	茜草，茜紗	紅色	
蹌	跄	qiàng	踉蹌		
戧	戗	qiàng	戧住，戧麵，夠戧，戧不住	支撐，支持，承受；填	
嗆	呛	qiàng	嗆人	刺激性的氣味使人呼吸感到難受	
熗	炝	qiàng	熗鍋	一種烹調方法	
俏	俏	qiào	俏皮，俊俏		
鞘	鞘	qiào	劍鞘		
竅	窍	qiào	竅門，訣竅		
殼	壳	qiào	外殼，地殼，金蟬脫殼	硬的外皮	
撬	撬	qiào			
峭	峭	qiào	峭壁，陡峭		
翹	翘	qiào	翹尾巴，翹辮子	一端向上揚起，突起，高起	
偢	偢	qiào		（方言）傻	
誚	诮	qiào			
拤	拤	qiá	拤腰	用手掐住	
前	前	qián	前面，以前		
潛	潜	qián	潛水，潛力，潛意識		
乾	乾	qián	乾坤，乾宅	八卦之一，代表天、男方等意思	
黔	黔	qián	黔驢技窮		
錢	钱	qián	錢幣，賺錢		
掮	掮	qián	掮客	運在肩上	
鉗	钳	qián			
虔	虔	qián	虔誠		
犍	犍	qián	犍為縣	（地名）	
牆	墙	qiáng	牆壁，圍牆		墻
檣	樯	qiáng	帆檣，桅檣	船上掛帆的桅桿	
強	强	qiáng	強壯，強大，堅強	有力	
薔	蔷	qiáng	薔薇		
瞧	瞧	qiáo	瞧見，小瞧		
翹	翘	qiáo	翹首，翹盼	舉起，抬起，向上	
蕎	荞	qiáo	蕎麥，蕎麵餄餎		
樵	樵	qiáo	樵夫	木柴	
喬	乔	qiáo	喬木，喬裝	高	
橋	桥	qiáo	橋梁，天橋		
憔	憔	qiáo	憔悴		
僑	侨	qiáo	僑居，華僑	寄居國外	
鍥	锲	qiè	鍥而不捨	用刀子刻	
妾	妾	qiè	愛妾，納妾，臣妾		
竊	窃	qiè	竊喜，偷竊		
切	切	qiè	切實，切題，切記，切齒，一切，親切，密切，貼切，迫切，急切，懇切，心切，切身，不切實際	貼近，密合，符合，急迫，務必，一定，所有的	
篋	箧	qiè	囊篋羞澀，傾箱倒篋	箱子一類的東西	
愜	惬	qiè	愜意		
挈	挈	qiè	挈領，扶老挈幼	提起，舉起，提攜，帶領	
怯	怯	qiè/què	怯懦，膽怯		
茄	茄	qié	茄子，番茄	一種蔬菜	
瓊	琼	qióng	瓊瑤	美玉，精美	
窮	穷	qióng	窮困，貧窮		
邛	邛	qióng	邛崍	（地名）	
穹	穹	qióng/qiōng	穹頂，蒼穹	天空	
犰	犰	qiú	犰狳		
虯	虬	qiú	虯髯，虯龍		
求	求	qiú	求學，請求		
囚	囚	qiú	囚犯，死囚		
毬	毬	qiú		古代皮製球	
酋	酋	qiú	酋長，阿聯酋	部落的首領	
泅	泅	qiú	泅水		
仇	仇	qiú		（姓）	
逑	逑	qiú	君子好逑	配偶	
球	球	qiú	球場，地球		
裘	裘	qiú	狐裘，集腋成裘		
遒	遒	qiú	遒勁，遒健	強健	
璆	璆	qiú	璆琳，璆然，璆磬	美玉	
銶	𨱇	qiú		一種鑿子	
俅	俅	qiú	俅人，俅江	恭順的樣子	
掐	掐	qiā	掐著指頭		
袷	袷	qiā	袷袢	一種對襟長袍	
葜	葜	qiā	菝葜		
謙	谦	qiān	謙虛，謙讓，謙遜		
韆	千	qiān	鞦韆	（數字）	
牽	牵	qiān	牽手，牽連，牽掛		
遷	迁	qiān	遷移，變遷		
騫	骞	qiān			
仟	仟	qiān		數字“千”的大寫	
鉛	铅	qiān	鉛筆		
籤	签	qiān	籤子，牙籤，書籤，標籤		簽
千	千	qiān			
簽	签	qiān	簽名，簽證，簽注		
阡	阡	qiān	阡陌	田間小路	
芊	芊	qiān	芊芊	草木茂盛的樣子	
槍	枪	qiāng	槍械，開槍		鎗
腔	腔	qiāng	腔調，京腔		
戧	戗	qiāng	戧風，說戧了，說話戧人	逆，不順，方向相對；決裂，言語衝突	
鏘	锵	qiāng	鏘鏘，鏗鏘	（象聲詞）	
嗆	呛	qiāng	嗆水，嗆著，夠嗆	食物进入气管而引起咳嗽	
羌	羌	qiāng	羌族		
蜣	蜣	qiāng	蜣螂		
搶	抢	qiāng	搶風，搶眼，呼天搶地	觸，撞，觸碰，碰撞	
戕	戕	qiāng/qiáng	戕害，自戕	殺害	
悄	悄	qiāo	悄悄，悄悄話，靜悄悄		
蹺	跷	qiāo	蹺腿，高蹺，蹺著腳，蹺蹺板，踩高蹺，蹺大拇指	抬起，豎起；墊起腳後跟走	
敲	敲	qiāo	敲門，推敲	擊打	
橇	橇	qiāo	雪橇		
鍬	锹	qiāo	鐵鍬，鍬把	一種鏟土的工具	
雀	雀	qiāo	雀子	雀斑	
切	切	qiē	切割，切菜，切開，切斷，切入，切磋，切面	用刀把東西切斷	
且	且	qiě	且慢，而且		
秋	秋	qiū	秋天，入秋		
丘	丘	qiū	丘陵，山丘		
鞦	秋	qiū	鞦韆		
蚯	蚯	qiū	蚯蚓		
鰍	鳅	qiū	泥鰍		
邱	邱	qiū		（姓）	
楸	楸	qiū			
龜	龟	qiū	龜茲	（古）國名	
卡	卡	qiǎ	卡住，卡緊，卡子，關卡，髮卡，稅卡	夾在中間不能活動；夾子	
遣	遣	qiǎn	遣送，派遣，消遣		
淺	浅	qiǎn	淺薄，淺顯，膚淺，擱淺	不深	
譴	谴	qiǎn	譴責，天譴	責備，申斥	
繾	缱	qiǎn	繾綣		
